9035901,1533803597,272,29.4,60.8,29,0
9035902,1533803686,51,30.4,56.7,20,1
9035903,1533803669,132,31.4,52.8,46,9
9035904,1533803598,274,29.4,60.8,30,0
9035905,1533803669,132,31.4,52.8,46,9
9035906,1533803669,,56.7,22.0,
9035907,1533803741,36,30.4,56.7,22,1
9035908,1533803653,218,29.4,60.7,29,0
9035909,1533803724,193,31.3,52.8,48,9
9035910,1533803724,193,31.3,52.8,48,9
9035911,1533803654,222,29.4,60.7,29,0
8927644,1533753106,201,29.8,52.4,572,0
8927645,1533753177,119,29.9,51.5,128,9
8927646,1533753177,119,29.9,51.5,128,9
8927647,1533753107,202,29.8,52.4,565,0
8927666,1533753250,89,29.9,51.5,130,9
8927667,1533753250,89,29.9,51.5,130,9
8927668,1533753180,191,29.8,52.5,561,0
8927669,1533753270,66,29.8,52.2,557,1
8927670,1533753270,66,29.8,52.2,557,1
8927671,1533753181,192,29.8,52.5,555,0
8927672,1533753270,66,29.8,52.2,557,1
8927673,1533753253,125,29.9,51.5,569,9
8927674,1533753182,184,29.8,52.5,553,0
8927675,1533753253,125,29.9,51.5,569,9
8927676,1533753253,125,29.9,51.5,569,9
8927677,1533753183,186,29.8,52.5,516,0
\
,9
8425247,1533293181,213,36.4,36.9,28,0
8425248,1533293271,82,33.3,41.2,19,1
8425249,1533293250,160,39.7,31.7,31,9
8425250,1533293181,213,36.4,36.9,28,0
8425251,1533293271,82,33.3,41.2,19,1